net,length_um
_1202_,665.85
_0988_,610.59
_1190_,595.49
_0974_,583.31
_1188_,582.6
_1071_,557.66
_1039_,535.945
_1130_,528.17
_1224_,519.84
_1252_,493.97
_0952_,483.22
_1042_,471.88
_0991_,466.59
clknet_0_clk,464.73
_1016_,462.42
_0942_,453.42
_1082_,452.11
_1111_,449.51
_1021_,443.93
_0978_,442.84
_1086_,436.29
_1105_,435.3
_0935_,430.48
_1248_,427.46
_1092_,423.49
_1008_,420.71
_0951_,412.82
_1184_,410.45
_1244_,409.325
_0957_,409.23
_1177_,409.1
_0993_,408.72
_1278_,403.91
_1145_,400.525
_1030_,389.98
_0936_,384.78
_1159_,382.59
_0973_,382.46
_1103_,380.16
_0939_,364.47
_0965_,363.505
_1181_,362.83
_0986_,362.29
_0947_,359.1
_1040_,357.74
_1108_,347.7
_1048_,347.65
_1122_,345.62
_1154_,331.87
_0958_,327.21
_1058_,320.93
_1334_,318.99
_1010_,310.985
_1205_,309.39
_1508_,308.79
_1530_,305.87
_1163_,304.29
_0960_,302.525
_0950_,302.41
_0721_,302.09
_1192_,297.345
_0963_,296.65
_0805_,295.48
_1658_,295.18
_1751_,294.1
_0979_,294.02
_1102_,293.24
_1827_,292.325
_1622_,291.65
_1589_,289.35
_1056_,284.38
_1297_,283.935
_0854_,283.65
_1127_,283.18
_1773_,283.14
_1611_,282.34
_0817_,280.91
_0806_,279.76
_1261_,276.75
_1263_,276.26
_1644_,275.47
_1193_,274.955
_1541_,273.76
_1838_,273.32
_1415_,271.72
_1232_,270.75
_0839_,270.225
_1784_,270.16
clknet_3_4__leaf_clk,267.88
_1692_,265.34
_1739_,264.95
_1577_,264.48
_0777_,263.87
_1497_,262.16
_1295_,260.07
_0850_,257.655
_1795_,256.22
_1578_,255.835
_1519_,255.72
_1806_,255.68
_0828_,253.42
_1762_,250.315
_1740_,249.26
_1460_,245.18
_1166_,244.94
_1496_,244.44
_0733_,244.28
_0990_,243.55
_1089_,243.31
_1230_,242.215
_1563_,241.45
_1416_,240.7
_0766_,239.14
_1633_,237.58
_1714_,237.48
clk,235.37
_1074_,234.61
_1471_,234.13
_0722_,233.98
_1346_,231
_1390_,227.98
_0755_,227.87
_1024_,227.56
_1600_,224.64
_0937_,224.54
_1335_,224.24
_1659_,224.18
clknet_3_3__leaf_clk,222.83
_0910_,222.73
_1703_,221.36
_1379_,220.82
_1036_,220.355
_0899_,220.04
clknet_3_6__leaf_clk,219.72
_0938_,217.355
_1449_,216.87
_0877_,216.3
_0944_,216.275
_1368_,215.66
_0744_,211.16
_0788_,210.8
_0855_,209.22
_1725_,207.28
_1427_,207.03
_1552_,207
_1482_,204.64
_0999_,203.12
_1670_,199.61
_0921_,196.68
_1158_,194.04
_1681_,190.12
_0866_,189.39
clknet_3_7__leaf_clk,189.32
_1128_,187.26
_1401_,183.4
clknet_3_1__leaf_clk,183.32
_1197_,181.05
clknet_3_2__leaf_clk,180.28
_0888_,173.49
clknet_3_0__leaf_clk,172.04
_1357_,171.68
_1438_,167.07
clknet_3_5__leaf_clk,158.39
_0941_,158.3
_0945_,156.88
net71,155.96
net2,149.56
net44,148.94
net1,147.66
_1165_,143.2
net6,141.76
_0962_,139.59
net26,138.3
net75,134.52
net19,133.34
net7,133.28
clknet_leaf_11_clk,132.14
net3,131.28
net72,128.7
clknet_leaf_37_clk,127.26
net38,126.9
clknet_leaf_35_clk,126.68
net76,126.15
clknet_leaf_19_clk,125.3
clknet_leaf_23_clk,125.02
clknet_leaf_17_clk,124.655
net68,123.98
clknet_leaf_50_clk,123.32
net55,122.84
net16,122.66
net56,122.62
net18,122.56
clknet_leaf_5_clk,122.47
net45,122.2
net34,122.1
net48,122.06
clknet_leaf_6_clk,121.26
net28,118.2
clknet_leaf_53_clk,117.92
net57,115.22
clknet_leaf_13_clk,114.68
net24,114
net20,113.56
clknet_leaf_33_clk,113.2
clknet_leaf_45_clk,109.62
net144,109.4
clknet_leaf_2_clk,109.23
clknet_leaf_49_clk,108.38
clknet_leaf_32_clk,107.915
clknet_leaf_16_clk,107.56
net74,107.12
clknet_leaf_44_clk,107.12
clknet_leaf_40_clk,106.43
clknet_leaf_46_clk,106.06
net46,105.62
clknet_leaf_55_clk,105.6
clknet_leaf_51_clk,104.755
clknet_leaf_7_clk,104.36
net59,104.255
clknet_leaf_1_clk,104.12
clknet_leaf_41_clk,102.74
net117,101.38
net69,100.74
clknet_leaf_18_clk,100
clknet_leaf_4_clk,99.32
net145,98.98
net65,98.88
net42,98.32
net14,98.24
net64,97.22
clknet_leaf_52_clk,96.76
net111,95.9
clknet_leaf_56_clk,95.74
net50,93.5
clknet_leaf_0_clk,93.34
net27,93.32
clknet_leaf_21_clk,93.3
net73,92.87
net107,92.6
net99,92.34
net148,92.2
net63,92.08
clknet_leaf_39_clk,91.82
clknet_leaf_14_clk,91.735
clknet_leaf_8_clk,91.54
clknet_leaf_54_clk,91.4
clknet_leaf_3_clk,91.36
net33,91.31
clknet_leaf_47_clk,91.14
net30,87.64
net31,87.42
net51,87.36
clknet_leaf_22_clk,86.24
net52,85.81
net37,85.5
net89,84.96
net11,84.24
net118,84.18
clknet_leaf_26_clk,83.73
net79,83.68
net53,82.84
net141,82.78
net62,82.26
net9,82.16
net121,81.42
net47,81.24
net12,81.06
